Designator,Footprint,Quantity,Value,LCSC Part #
C27,0805,1,10uF 50V,C440198
"C28, C33, C34",0402,3,0.1uF 50V,C5182432
"C30, C31",0603,2,22uF 16V,C2762594
D6,0402,1,LED_Small,C130724
D7,0402,1,LED_Small,C130719
L3,L_Wurth_WE-LQSH-2512,1,4.7uH,C5832360
"R12, R14",0402,2,10K,C60490
R13,0402,1,3K +1%,C137987
R15,0402,1,165K,C42396631
R16,0402,1,120R,C114758
R38,0402,1,100R,C106232
R39,0402,1,130R,C477610
U1,SOT-23-8,1,WS2811,C5446692
U2,Texas_RGE0024H_VQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias,1,TPS26630RGE,C1850276
U6,TSOT-23-6,1,AP63205WU,C2071056
