Designator,Mid X,Mid Y,Rotation,Layer
C1,105.6,-106.875,90.0,top
C2,110.65,-108.86,0.0,top
C3,110.65,-110.36,0.0,top
C4,111.15,-106.4,270.0,top
C5,88.2,-108.95,270.0,top
C6,90.825,-110.8,90.0,top
D1,88.85,-119.35,180.0,top
D2,88.85,-121.45,180.0,top
J1,100.0,-106.45,0.0,top
J2,100.0,-113.75,0.0,top
J3,100.0,-110.1,180.0,bottom
J4,96.5,-116.5,0.0,top
J5,103.5,-116.5,0.0,top
L1,107.89,-109.73,270.0,top
R1,88.85,-118.4,0.0,top
R2,88.85,-120.5,0.0,top
R3,108.85,-119.2,90.0,top
R4,94.525,-107.75,270.0,top
R5,94.525,-109.625,270.0,top
R6,91.775,-110.825,270.0,top
R7,91.8,-117.75,0.0,top
U1,108.1125,-106.4,0.0,top
U2,92.475,-120.175,180.0,top
U3,91.3,-107.1,0.0,top
