Designator,Footprint,Quantity,Value,LCSC Part #
"_9, _8, _7, _6, _5, _4, _3, _2, ",,9,,
"C1, C4, C6, C9",0603,4,470pF 100V,C326973
"C10, C13, C15, C17, C19, C2, C21, C24, C25, C26, C28, C29, C33, C35, C36, C37, C38, C39",0402,18,0.1uF 50V,C5182432
"C22, C40",0603,2,4.7uF 50V,C513577
C23,0402,1,22nF 50V,C107026
C27,0805,1,10uF 50V,C440198
"C3, C8",0603,2,1uF 16V,C106248
"C30, C31",0603,2,22uF 16V,C2762594
C34,CP_Elec_6.3x7.7,1,100uF 35V,C2983388 
"C42, C43",0402,2,16pF 50V,C513591
"D1_4, D1_3, D1_2, D1, D2_4, D2_3, D2_2, D2",D_SOD-323,8,UDD32C24L01,C19188728
"D3_4, D3_3, D3_2, D3, D4_4, D4_3, D4_2, D4",D_SOD-323,8,SD05,C502527
D5,D_SOD-323,1,D_Schottky,C7420331
D6,0402,1,LED_Small,C130724
"D9_4, D9_3, D9_2, D9",D_SOD-123F,4,"PTVS26VS1UR,115-ES",C41409305
IC1,tmc_2209_package,1,TMC2209-LA,C2150710
"J1_6, J1_5, J1_4, J1_3",mill-max-0881-1-15-20-82-14-11-0_LandingPads_ContactPad_PTH_2x1.5x1,4,Conn_01x07,
J1_2,PinSocket_2x02_P2.54mm_Vertical,1,Conn_02x02_Odd_Even,C2840016
J1,PinSocket_2x03_P2.54mm_Vertical,1,DEBUG,C541853
J14,USB-C-SMD_TYPEC-303-ACP16,1,918-418K2023S40001,C720628
J15,Motor_Hand_Wire_pads,1,STEPPER,
"J2_5, J2_4, J2_3, J2_2",Toolplate_Solderpoint_01x02_Power,4,Conn_01x02,
J2,Molex_Micro-Fit_3.0_43045-0612_2x03_P3.00mm_Vertical,1,Conn_02x03_Odd_Even,C234188
"J3_6, J3_5, J3_4, J3_2",Toolplate_Solderpoint_01x05_Data,4,Conn_01x05,
J3_3,mill-max-0881-1-15-20-82-14-11-0_LandingPads_Simple,1,Conn_01x07,
J3,PinHeader_2x02_P2.54mm_Vertical,1,Conn_02x02_Odd_Even,C7501273
L1,L_CommonModeChoke_Coilcraft_0805USB,1,Common Choke,C3029267
L3,IND-SMD_L4.0-W4.0_FNR40XXS,1,4.7uH,C167874
"LED1, LED2",LED-SMD_4P-L4.0-W1.6-L,2,SK6812SIDE-A-RVS,C2890037
"MOUSE-BITE-2MM-SLOT_20, MOUSE-BITE-2MM-SLOT_19, MOUSE-BITE-2MM-SLOT_18, MOUSE-BITE-2MM-SLOT_17, MOUSE-BITE-2MM-SLOT_16, MOUSE-BITE-2MM-SLOT_15, MOUSE-BITE-2MM-SLOT_14, MOUSE-BITE-2MM-SLOT_13, MOUSE-BITE-2MM-SLOT_12, MOUSE-BITE-2MM-SLOT_11, MOUSE-BITE-2MM-SLOT_10, MOUSE-BITE-2MM-SLOT_9, MOUSE-BITE-2MM-SLOT_8, MOUSE-BITE-2MM-SLOT_7, MOUSE-BITE-2MM-SLOT_6, MOUSE-BITE-2MM-SLOT_5, MOUSE-BITE-2MM-SLOT_4, MOUSE-BITE-2MM-SLOT_3, MOUSE-BITE-2MM-SLOT_2, MOUSE-BITE-2MM-SLOT",mouse-bite-2mm-slot,20,VAL**,
"R1, R13, R15",0402,3,1K,C106235
"R10, R7",0402,2,115R,C295872
"R11, R12, R14, R2, R32, R8, R9",0402,7,10K,C60490
"R3, R4",0402,2,5.1K,C105872
"R30, R34",0805,2,0.68R 1%,C912570
R35,0402,1,22R,C6117700
"R36, R38",0402,2,22R,C6117700 
"R5, R6",0402,2,330R,C6117577
SW1,KEY-SMD_B3U-1000PM,1,Boot,C231329
SW2,KEY-SMD_B3U-1000PM,1,Reset,C231329
U1,SOT-23-5,1,TLV73333PDBV,C408972
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8T6,C8734
U3,SENSOR_EE-SX4320_OMR,1,EE-SX4320,C469129
U5,TSSOP-14_4.4x5mm_P0.65mm,1,AS5047D,C2693743
U6,TSOT-23-6,1,AP63205WU,C2071056
U7,SENSOR_EE-SX3350_OMR,1,EE-SX4350,C17524058
U8,HVSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm,1,TJA1044GTK/3Z,C2157795
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8MHz,C5261255
