Designator,Mid X,Mid Y,Rotation,Layer
_9,146.186618,-45.0,0.0,top
_8,84.830638,-45.0,0.0,top
_7,141.186618,-45.0,0.0,top
_6,79.830638,-45.0,0.0,top
_5,141.186618,-119.562176,0.0,top
_4,141.186618,-45.0,180.0,bottom
_3,141.186618,-119.562176,180.0,bottom
_2,84.830638,-119.562176,180.0,bottom
,84.830638,-45.0,180.0,bottom
C1,88.12,-73.56,0.0,top
C10,88.85,-72.67,270.0,bottom
C13,113.47,-67.76,0.0,top
C15,98.44,-62.93,180.0,bottom
C17,105.13,-62.56,90.0,top
C19,94.94,-76.91,0.0,top
C2,88.85,-70.08,90.0,bottom
C21,94.71,-74.98,180.0,bottom
C22,95.875,-66.75,90.0,bottom
C23,92.78,-67.8,0.0,bottom
C24,94.25,-67.325,90.0,bottom
C25,113.47,-68.75,180.0,top
C26,88.85,-74.51,270.0,bottom
C27,103.8,-58.75,90.0,top
C28,98.93,-56.77,90.0,top
C29,88.85,-68.25,90.0,bottom
C3,103.8375,-62.515,90.0,top
C30,97.915,-59.89,0.0,top
C31,97.915,-58.42,0.0,top
C33,99.82,-75.75,90.0,bottom
C34,98.69,-69.09,90.0,top
C35,102.32,-58.42,90.0,bottom
C36,104.05,-64.05,180.0,bottom
C37,107.87,-72.36,0.0,bottom
C38,97.575,-65.6,270.0,bottom
C39,105.32,-75.76,90.0,bottom
C4,88.12,-72.1,0.0,top
C40,107.31,-73.56,0.0,bottom
C42,105.32,-77.59,90.0,bottom
C43,99.82,-77.59,270.0,bottom
C6,88.12,-70.64,0.0,top
C8,98.26,-62.52,90.0,top
C9,88.125,-69.18,0.0,top
D1_4,86.898356,-103.462246,90.0,top
D1_3,135.341283,-103.462246,90.0,top
D1_2,86.898411,-86.062258,90.0,top
D1,102.418345,-110.262246,270.0,top
D2_4,88.798356,-103.462246,90.0,top
D2_3,137.241283,-103.462246,90.0,top
D2_2,88.798411,-86.062258,90.0,top
D2,100.518345,-110.262246,270.0,top
D3_4,106.808345,-110.262246,270.0,top
D3_3,130.951283,-103.462246,90.0,top
D3_2,82.508411,-86.062258,90.0,top
D3,82.508356,-103.462246,90.0,top
D4_4,84.408411,-86.062258,90.0,top
D4_3,84.408356,-103.462246,90.0,top
D4_2,132.851283,-103.462246,90.0,top
D4,104.908345,-110.262246,270.0,top
D5,107.24,-80.9475,270.0,bottom
D6,106.26,-77.615,90.0,bottom
D9_4,78.468356,-104.582246,180.0,top
D9_3,78.468411,-87.182258,180.0,top
D9_2,110.848345,-109.142246,0.0,top
D9,126.911283,-104.582246,180.0,top
IC1,92.49,-71.38,270.0,bottom
J1_6,76.908356,-108.962246,90.0,top
J1_5,76.908411,-91.562258,90.0,top
J1_4,112.408345,-104.762246,270.0,top
J1_3,125.351283,-108.962246,90.0,top
J1_2,142.229983,-95.0,135.0,bottom
J1,111.805923,-64.321985,45.0,bottom
J14,112.956,-80.251,180.0,bottom
J15,85.22,-71.39,180.0,top
J2_5,73.268356,-101.532246,90.0,top
J2_4,73.268411,-84.132258,90.0,top
J2_3,121.711283,-101.532246,90.0,top
J2_2,116.048345,-112.192246,270.0,top
J2,128.899993,-53.53,180.0,bottom
J3_6,109.158345,-112.922246,270.0,top
J3_5,80.158411,-83.402258,90.0,top
J3_4,80.158356,-100.802246,90.0,top
J3_3,134.049993,-66.2,0.0,top
J3_2,128.601283,-100.802246,90.0,top
J3,109.27999,-60.0,225.0,top
L1,103.735,-56.73,180.0,bottom
L3,101.8,-53.91,90.0,top
LED1,92.2,-78.4,0.0,bottom
LED2,84.2,-78.4,0.0,bottom
MOUSE-BITE-2MM-SLOT_20,105.391554,-98.1622,0.0,top
MOUSE-BITE-2MM-SLOT_19,91.7084,-94.162358,90.0,top
MOUSE-BITE-2MM-SLOT_18,106.741854,-115.5622,0.0,top
MOUSE-BITE-2MM-SLOT_17,144.4933,-49.0,0.0,top
MOUSE-BITE-2MM-SLOT_16,145.863481,-93.511298,135.0,top
MOUSE-BITE-2MM-SLOT_15,96.3423,-49.0,0.0,top
MOUSE-BITE-2MM-SLOT_14,81.380442,-98.1623,0.0,top
MOUSE-BITE-2MM-SLOT_13,86.704422,-80.7622,0.0,top
MOUSE-BITE-2MM-SLOT_12,128.7044,-49.0,0.0,top
MOUSE-BITE-2MM-SLOT_11,81.386654,-115.5622,0.0,top
MOUSE-BITE-2MM-SLOT_10,131.848177,-91.986001,146.9,top
MOUSE-BITE-2MM-SLOT_9,128.190254,-98.1622,0.0,top
MOUSE-BITE-2MM-SLOT_8,74.923742,-80.7623,0.0,top
MOUSE-BITE-2MM-SLOT_7,108.070822,-84.3622,0.0,top
MOUSE-BITE-2MM-SLOT_6,130.965154,-115.5622,0.0,top
MOUSE-BITE-2MM-SLOT_5,144.435918,-73.097818,90.0,top
MOUSE-BITE-2MM-SLOT_4,120.999999,-72.909525,90.0,top
MOUSE-BITE-2MM-SLOT_3,136.799993,-73.097786,90.0,top
MOUSE-BITE-2MM-SLOT_2,75.0353,-49.0,0.0,top
MOUSE-BITE-2MM-SLOT,136.799993,-53.64983,90.0,top
R1,94.96,-75.91,180.0,top
