Designator,Mid X,Mid Y,Rotation,Layer
C1,100.375,-114.8,0.0,top
C10,100.65,-114.195,270.0,bottom
C13,130.2,-113.25,180.0,bottom
C15,108.7,-118.53,90.0,top
C17,129.9,-115.1,270.0,bottom
C19,106.85,-119.725,0.0,top
C2,100.65,-111.605,90.0,bottom
C21,106.52,-116.5,180.0,bottom
C22,107.1,-108.225,90.0,bottom
C23,104.375,-109.25,0.0,bottom
C24,105.825,-108.8,90.0,bottom
C25,125.2,-113.4,180.0,top
C26,100.65,-116.08,270.0,bottom
C27,116.2,-99.125,90.0,top
C28,109.2,-96.875,180.0,top
C29,100.65,-109.72,90.0,bottom
C3,109.0,-103.1,270.0,top
C30,109.975,-98.4,180.0,top
C31,109.975,-100.525,180.0,top
C33,111.925,-116.47,90.0,bottom
C34,109.95,-109.475,180.0,top
C35,128.65,-115.05,270.0,bottom
C36,115.75,-104.725,180.0,bottom
C37,119.125,-112.6,270.0,bottom
C38,108.825,-106.725,180.0,bottom
C39,117.62,-114.575,0.0,bottom
C4,100.425,-113.0,0.0,top
C40,115.475,-104.15,180.0,top
C42,117.2,-118.0,90.0,bottom
C43,111.925,-118.305,270.0,bottom
C6,100.425,-111.2,0.0,top
C8,115.475,-102.625,0.0,top
C9,100.4,-109.4,0.0,top
D5,130.55,-118.3,270.0,bottom
D6,117.635,-116.475,180.0,bottom
IC1,104.3,-112.9,270.0,bottom
J1,123.605923,-105.721985,45.0,bottom
J14,124.5,-121.84,180.0,bottom
J15,96.9,-112.925,180.0,top
J3,121.07999,-101.4,225.0,top
L1,118.617157,-104.848026,225.0,bottom
L3,113.6,-94.65,90.0,top
LED1,104.0,-119.8,0.0,bottom
LED2,96.0,-119.8,0.0,bottom
Q3,121.8,-114.75,180.0,top
R1,106.725,-116.575,180.0,top
R10,122.8,-112.24,270.0,top
R11,119.55,-114.9,270.0,bottom
R12,107.25,-105.6,90.0,bottom
R13,110.825,-116.5,270.0,bottom
R14,109.975,-118.45,90.0,top
R15,125.2,-115.45,0.0,top
R16,120.85,-110.75,90.0,top
R2,106.85,-118.725,0.0,top
R3,126.6,-121.8,90.0,top
R30,99.15,-110.8375,270.0,bottom
R32,104.35,-108.25,180.0,bottom
R34,99.15,-114.9625,90.0,bottom
R35,115.2,-108.56,90.0,top
R36,116.3,-108.575,90.0,top
R38,117.635,-115.525,0.0,bottom
R4,122.45,-121.7,90.0,top
R5,125.225,-111.8,0.0,top
R6,97.575,-118.65,90.0,top
R7,106.325,-118.275,180.0,bottom
R8,125.2,-114.425,180.0,top
R9,114.875,-113.1,0.0,top
SW1,126.422918,-110.922918,225.0,bottom
SW2,128.722918,-108.622918,225.0,bottom
U1,111.8875,-103.325,180.0,top
U2,113.5,-110.35,0.0,bottom
U3,102.0,-118.0,0.0,top
U5,111.0,-100.0,180.0,bottom
U6,113.45,-99.4625,270.0,top
U7,128.5,-113.1,270.0,top
U8,116.3,-101.475,90.0,bottom
Y1,114.55,-117.525,0.0,bottom
